id,week,name,artist,kana,year,nation,label,producer,corner,youtube
1,1,My Sharona,The Knack,,1979,US,Capitol Records,,,bbr60I0u2Ng
2,1,Don’t Look Back,Boston,,1978,US,Epic,,,2HuiH-0R6a0
3,1,Way of the World,Cheap Trick,,1979,US,Epic,,,y1JuM8fP2dM
4,1,Can the Can,Suzi Quatro,,1973,US,RAK Records,,,
5,1,Message in a Bottle,The Police,,1979,UK,A&M,,,MbXWrmQW-OE
6,1,The Unconventional,Japan,,1978,UK,Hansa,,,
7,1,Strutter ’78,Kiss,,1978,US,Casablanca,,,
8,1,Breakfast in America,Supertramp,,1979,UK,A&M,,,
9,1,醒めない,スピッツ,,2016,JPN,Universal Records,亀田誠治,,fuebj1esuwY
10,2,歌ウサギ,スピッツ,,2017,JPN,Universal Records,亀田誠治,漫遊前の一曲,
11,2,Superstar,Andrew Lloyd Webber and Tim Rice,,1969,UK,Decca/MCA,"Tim Rice, Andrew Lloyd Webber",,
12,2,The Living End,Judee Sill,,1974,US,Water Records,Judee Sill,,
13,2,Dust,Fleetwood Mac,,1972,UK,Reprise Records,Fleetwood Mac,,
14,2,サースティ,吉田ヨウヘイgroup,よしだようへいぐるーぷ,2017,JPN,P-VINE,,,
15,2,You Stole My Heart,Randy California,,1979,US,,Randy California,,
16,2,N.E.O.,CHAI,,2017,JPN,OTEMOYAN record,CHAI,,YMGf3zyhG94
17,2,Dreamtime,SOON,,1998,JPN,東芝EMI,,ちょっぴりタイムマシーン,
18,3,みそか,スピッツ,,2005,JPN,Universal Records,亀田誠治,漫遊前の一曲,
19,3,Living After Midnight,Judas Priest,,1980,UK,Columbia,Tom Allom,,9VVFNgbsDC4
20,3,Paranoid,Black Sabbath,,1970,UK,Vertigo,Rodger Bain,,hkXHsK4AQPs
21,3,Heartbreaker,Led Zeppelin,,1969,UK,Atlantic,Jimmy Page,,
22,3,SHINY DAY,EARTHSHAKER,,1984,JPN,キングレコード,,,2IkMJ2xhS8Q
23,3,Sparkle,山下達郎,やましたたつろう,1982,JPN,AIR ⁄ RVC,,,
24,3,Dreamy Dreamer,LU-NA,,1991,JPN,キングレコード,,ちょっぴりタイムマシーン,
25,4,インディゴ地平線,スピッツ,,1996,JPN,ポリドール,笹路正徳,漫遊前の一曲,cdMEZkGW2PA
26,4,はじまりの国,People In the Box,,2007,JPN,under_bar,,,dBz5JsdDTHw
27,4,初期衝動,BRAHMAN,,2013,JPN,トイズファクトリー,,,NnRvCS_pa8I
28,4,GOLD,Awesome City Club,,2015,JPN,ビクターエンタテイメント,,,8cP9HeZS37E
29,4,Amazing Parade,Czecho No Republic,,2014,JPN,日本コロムビア,,,
30,4,血清,パノラマメロウ,,2017,JPN,パノラマメロウ,,,
31,4,Merry Go Round In Rainy Days,NYAI,,2016,JPN,ニャイちゃんレーベル,,,PRTQb_BYqig
32,4,新しい風,陣内大蔵,じんないだいぞう,1992,JPN,ファンハウス,,ちょっぴりタイムマシーン,
33,5,みなと,スピッツ,,2016,JPN,Universal Records,亀田誠治,漫遊前の一曲,GiuxvmiULhI
34,5,The Drugs Don’t Work,The Verve,,1997,UK,Hut Records,"Youth, Chris Potter",,ToQ0n3itoII
35,5,Real Animal,The House of Love,,1987,UK,Creation,,,
36,5,Can’t Be Sure,The Sundays,,1989,UK,Rough Trade,Ray Shulman,,yARVs1ZNLjU
37,5,空洞です,ゆらゆら帝国,,2007,JPN,ソニー・ミュージックアソシエイテッドレコーズ,,,mKUhq7SYouA
38,5,Summer of '69,Bryan Adams,,1984,CAN,A&M,Bob Clearmountain,,eFjjO_lhf9c
39,5,I Don't Know What It Is,Rufus Wainwright,,2004,CAN,DreamWorks Records,Marius de Vries,,
40,5,夕なぎ,Nav Katze,,1987,JPN,SWITCH,窪田晴男,ちょっぴりタイムマシーン,
41,6,魔女旅に出る,スピッツ,,1991,JPN,ポリドール,高橋信彦,漫遊前の一曲,
42,6,Honesty,Billy Joel,,1979,US,Columbia,Phil Ramone,,SuFScoO4tb0
43,6,Pretty Ballerina,The Left Banke,,1967,US,Smash,Harry Lookofsky,,
44,6,Love Me Please Love Me,Michel Polnareff,,1966,FR,Disc'AZ,,,
45,6,Leave a Light On,Belinda Carlisle,,1989,US,"MCA, Virgin",Rick Nowels,,pmZYE8j2ZNs
46,6,Love Letter Boxes,The Posies,,1993,US,DGC,Don Fleming,,
